Name;Value;Symbol;date;barType
BBL 3 (2);NaN;CAC 40;1999/03/01 08:00:00.000;Daily
BBL 3 (2);NaN;CAC 40;1999/03/02 08:00:00.000;Daily
BBL 3 (2);3951.098507959451;CAC 40;1999/03/03 08:00:00.000;Daily
BBL 3 (2);3924.9943020966853;CAC 40;1999/03/04 08:00:00.000;Daily
BBL 3 (2);3903.6818787032394;CAC 40;1999/03/05 08:00:00.000;Daily
BBL 3 (2);4047.20442778955;CAC 40;1999/03/08 08:00:00.000;Daily
BBL 3 (2);4125.223107340202;CAC 40;1999/03/09 08:00:00.000;Daily
BBL 3 (2);4113.035048443419;CAC 40;1999/03/10 08:00:00.000;Daily
BBL 3 (2);4106.590951301568;CAC 40;1999/03/11 08:00:00.000;Daily
BBL 3 (2);4108.463551019031;CAC 40;1999/03/12 08:00:00.000;Daily
BBL 3 (2);4127.572911672347;CAC 40;1999/03/15 08:00:00.000;Daily
BBL 3 (2);4129.721252919926;CAC 40;1999/03/16 08:00:00.000;Daily
BBL 3 (2);4126.568120873024;CAC 40;1999/03/17 08:00:00.000;Daily
BBL 3 (2);4102.271306421289;CAC 40;1999/03/18 08:00:00.000;Daily
BBL 3 (2);4081.6323295070324;CAC 40;1999/03/19 08:00:00.000;Daily
BBL 3 (2);4093.883893003743;CAC 40;1999/03/22 08:00:00.000;Daily
BBL 3 (2);4007.911499295635;CAC 40;1999/03/23 08:00:00.000;Daily
BBL 3 (2);3941.791798302994;CAC 40;1999/03/24 08:00:00.000;Daily
BBL 3 (2);3972.120890058259;CAC 40;1999/03/25 08:00:00.000;Daily
BBL 3 (2);3971.1049922893903;CAC 40;1999/03/26 08:00:00.000;Daily
BBL 3 (2);4091.0231992885515;CAC 40;1999/03/29 07:00:00.000;Daily
BBL 3 (2);4094.741120463638;CAC 40;1999/03/30 07:00:00.000;Daily
BBL 3 (2);4093.8654621780165;CAC 40;1999/03/31 07:00:00.000;Daily
BBL 3 (2);4087.5617149479003;CAC 40;1999/04/01 07:00:00.000;Daily
BBL 3 (2);4135.013325142973;CAC 40;1999/04/02 07:00:00.000;Daily
BBL 3 (2);4183.712816132662;CAC 40;1999/04/05 07:00:00.000;Daily
BBL 3 (2);4174.566246017479;CAC 40;1999/04/06 07:00:00.000;Daily
BBL 3 (2);4198.665606909049;CAC 40;1999/04/07 07:00:00.000;Daily
BBL 3 (2);4254.040151798235;CAC 40;1999/04/08 07:00:00.000;Daily
BBL 3 (2);4250.583033297469;CAC 40;1999/04/09 07:00:00.000;Daily
BBL 3 (2);4283.755624113863;CAC 40;1999/04/12 07:00:00.000;Daily
BBL 3 (2);4300.493338056455;CAC 40;1999/04/13 07:00:00.000;Daily
BBL 3 (2);4288.713181318353;CAC 40;1999/04/14 07:00:00.000;Daily
BBL 3 (2);4256.356205799545;CAC 40;1999/04/15 07:00:00.000;Daily
BBL 3 (2);4229.117152870449;CAC 40;1999/04/16 07:00:00.000;Daily
BBL 3 (2);4210.723181746189;CAC 40;1999/04/19 07:00:00.000;Daily
BBL 3 (2);4165.479132126466;CAC 40;1999/04/20 07:00:00.000;Daily
BBL 3 (2);4170.612314612562;CAC 40;1999/04/21 07:00:00.000;Daily
BBL 3 (2);4201.693268459799;CAC 40;1999/04/22 07:00:00.000;Daily
BBL 3 (2);4211.789550114915;CAC 40;1999/04/23 07:00:00.000;Daily
BBL 3 (2);4212.1111282352595;CAC 40;1999/04/26 07:00:00.000;Daily
BBL 3 (2);4167.661376637728;CAC 40;1999/04/27 07:00:00.000;Daily
BBL 3 (2);4218.542260710828;CAC 40;1999/04/28 07:00:00.000;Daily
BBL 3 (2);4319.930527922146;CAC 40;1999/04/29 07:00:00.000;Daily
BBL 3 (2);4294.9952600082315;CAC 40;1999/04/30 07:00:00.000;Daily
BBL 3 (2);4317.0966634194365;CAC 40;1999/05/03 07:00:00.000;Daily
BBL 3 (2);4371.229223109885;CAC 40;1999/05/04 07:00:00.000;Daily
BBL 3 (2);4310.123601548896;CAC 40;1999/05/05 07:00:00.000;Daily
BBL 3 (2);4250.473249894967;CAC 40;1999/05/06 07:00:00.000;Daily
BBL 3 (2);4226.1207349929655;CAC 40;1999/05/07 07:00:00.000;Daily
BBL 3 (2);4241.292190580994;CAC 40;1999/05/10 07:00:00.000;Daily
BBL 3 (2);4237.956782548738;CAC 40;1999/05/11 07:00:00.000;Daily
BBL 3 (2);4291.973632562881;CAC 40;1999/05/12 07:00:00.000;Daily
BBL 3 (2);4268.817751950775;CAC 40;1999/05/13 07:00:00.000;Daily
BBL 3 (2);4231.69929097266;CAC 40;1999/05/14 07:00:00.000;Daily
BBL 3 (2);4148.8647481504895;CAC 40;1999/05/17 07:00:00.000;Daily
BBL 3 (2);4191.875994855033;CAC 40;1999/05/18 07:00:00.000;Daily
BBL 3 (2);4171.546479202665;CAC 40;1999/05/19 07:00:00.000;Daily
BBL 3 (2);4229.754803500785;CAC 40;1999/05/20 07:00:00.000;Daily
BBL 3 (2);4307.765639150418;CAC 40;1999/05/21 07:00:00.000;Daily
BBL 3 (2);4350.532975661122;CAC 40;1999/05/24 07:00:00.000;Daily
BBL 3 (2);4323.651288380027;CAC 40;1999/05/25 07:00:00.000;Daily
BBL 3 (2);4315.5956439541715;CAC 40;1999/05/26 07:00:00.000;Daily
BBL 3 (2);4271.229971095902;CAC 40;1999/05/27 07:00:00.000;Daily
BBL 3 (2);4250.053111894019;CAC 40;1999/05/28 07:00:00.000;Daily
BBL 3 (2);4263.806783175925;CAC 40;1999/05/31 07:00:00.000;Daily
BBL 3 (2);4262.296769198583;CAC 40;1999/06/01 07:00:00.000;Daily
BBL 3 (2);4261.462711489675;CAC 40;1999/06/02 07:00:00.000;Daily
BBL 3 (2);4253.558181557859;CAC 40;1999/06/03 07:00:00.000;Daily
