Name;Value;Symbol;date;barType
SMA 3 (1);NaN;CAC 40;1999/03/01 08:00:00.000;Daily
SMA 3 (1);NaN;CAC 40;1999/03/02 08:00:00.000;Daily
SMA 3 (1);3987.2802099674423;CAC 40;1999/03/03 08:00:00.000;Daily
SMA 3 (1);4013.6947857207874;CAC 40;1999/03/04 08:00:00.000;Daily
SMA 3 (1);4064.873026242893;CAC 40;1999/03/05 08:00:00.000;Daily
SMA 3 (1);4128.598190247839;CAC 40;1999/03/08 08:00:00.000;Daily
SMA 3 (1);4149.06948645668;CAC 40;1999/03/09 08:00:00.000;Daily
SMA 3 (1);4137.513109564592;CAC 40;1999/03/10 08:00:00.000;Daily
SMA 3 (1);4141.145113730677;CAC 40;1999/03/11 08:00:00.000;Daily
SMA 3 (1);4142.135660321427;CAC 40;1999/03/12 08:00:00.000;Daily
SMA 3 (1);4152.701490622766;CAC 40;1999/03/15 08:00:00.000;Daily
SMA 3 (1);4149.3996686535975;CAC 40;1999/03/16 08:00:00.000;Daily
SMA 3 (1);4148.574213161305;CAC 40;1999/03/17 08:00:00.000;Daily
SMA 3 (1);4134.706560890799;CAC 40;1999/03/18 08:00:00.000;Daily
SMA 3 (1);4146.923302176721;CAC 40;1999/03/19 08:00:00.000;Daily
SMA 3 (1);4156.663676985768;CAC 40;1999/03/22 08:00:00.000;Daily
SMA 3 (1);4133.550923201591;CAC 40;1999/03/23 08:00:00.000;Daily
SMA 3 (1);4072.46721677198;CAC 40;1999/03/24 08:00:00.000;Daily
SMA 3 (1);4054.637378138472;CAC 40;1999/03/25 08:00:00.000;Daily
SMA 3 (1);4088.646144420904;CAC 40;1999/03/26 08:00:00.000;Daily
SMA 3 (1);4124.966186081753;CAC 40;1999/03/29 07:00:00.000;Daily
SMA 3 (1);4126.28691486942;CAC 40;1999/03/30 07:00:00.000;Daily
SMA 3 (1);4126.771759476709;CAC 40;1999/03/31 07:00:00.000;Daily
SMA 3 (1);4151.0183202296985;CAC 40;1999/04/01 07:00:00.000;Daily
SMA 3 (1);4181.864353445791;CAC 40;1999/04/02 07:00:00.000;Daily
SMA 3 (1);4203.3081198527;CAC 40;1999/04/05 07:00:00.000;Daily
SMA 3 (1);4228.710735442422;CAC 40;1999/04/06 07:00:00.000;Daily
SMA 3 (1);4251.144214145034;CAC 40;1999/04/07 07:00:00.000;Daily
SMA 3 (1);4277.866446129029;CAC 40;1999/04/08 07:00:00.000;Daily
SMA 3 (1);4299.640116634506;CAC 40;1999/04/09 07:00:00.000;Daily
SMA 3 (1);4314.815705168626;CAC 40;1999/04/12 07:00:00.000;Daily
SMA 3 (1);4319.59931459786;CAC 40;1999/04/13 07:00:00.000;Daily
SMA 3 (1);4307.39286295085;CAC 40;1999/04/14 07:00:00.000;Daily
SMA 3 (1);4290.56775392389;CAC 40;1999/04/15 07:00:00.000;Daily
SMA 3 (1);4269.618843664834;CAC 40;1999/04/16 07:00:00.000;Daily
SMA 3 (1);4280.670630966855;CAC 40;1999/04/19 07:00:00.000;Daily
SMA 3 (1);4262.525905545625;CAC 40;1999/04/20 07:00:00.000;Daily
SMA 3 (1);4265.824946531303;CAC 40;1999/04/21 07:00:00.000;Daily
SMA 3 (1);4240.917187089432;CAC 40;1999/04/22 07:00:00.000;Daily
SMA 3 (1);4243.556419877975;CAC 40;1999/04/23 07:00:00.000;Daily
SMA 3 (1);4239.267666596593;CAC 40;1999/04/26 07:00:00.000;Daily
SMA 3 (1);4266.319802679154;CAC 40;1999/04/27 07:00:00.000;Daily
SMA 3 (1);4300.299924831641;CAC 40;1999/04/28 07:00:00.000;Daily
SMA 3 (1);4330.321197801313;CAC 40;1999/04/29 07:00:00.000;Daily
SMA 3 (1);4345.7149078718985;CAC 40;1999/04/30 07:00:00.000;Daily
SMA 3 (1);4369.039471645147;CAC 40;1999/05/03 07:00:00.000;Daily
SMA 3 (1);4384.099988782907;CAC 40;1999/05/04 07:00:00.000;Daily
SMA 3 (1);4366.2259684435885;CAC 40;1999/05/05 07:00:00.000;Daily
SMA 3 (1);4329.153926258335;CAC 40;1999/05/06 07:00:00.000;Daily
SMA 3 (1);4287.447878799924;CAC 40;1999/05/07 07:00:00.000;Daily
SMA 3 (1);4276.855866746994;CAC 40;1999/05/10 07:00:00.000;Daily
SMA 3 (1);4286.1238772933075;CAC 40;1999/05/11 07:00:00.000;Daily
SMA 3 (1);4303.666897255973;CAC 40;1999/05/12 07:00:00.000;Daily
