Name;Value;Symbol;date;barType
SMA 4 (1);NaN;CAC 40;1999/03/01 08:00:00.000;Daily
SMA 4 (1);NaN;CAC 40;1999/03/02 08:00:00.000;Daily
SMA 4 (1);NaN;CAC 40;1999/03/03 08:00:00.000;Daily
SMA 4 (1);4008.24677947166;CAC 40;1999/03/04 08:00:00.000;Daily
SMA 4 (1);4050.345009578554;CAC 40;1999/03/05 08:00:00.000;Daily
SMA 4 (1);4087.2428700840073;CAC 40;1999/03/08 08:00:00.000;Daily
SMA 4 (1);4129.588736838588;CAC 40;1999/03/09 08:00:00.000;Daily
SMA 4 (1);4143.208752461407;CAC 40;1999/03/10 08:00:00.000;Daily
SMA 4 (1);4144.446935699845;CAC 40;1999/03/11 08:00:00.000;Daily
SMA 4 (1);4139.7418393937805;CAC 40;1999/03/12 08:00:00.000;Daily
SMA 4 (1);4145.932755585971;CAC 40;1999/03/15 08:00:00.000;Daily
SMA 4 (1);4153.361855016599;CAC 40;1999/03/16 08:00:00.000;Daily
SMA 4 (1);4145.313663966752;CAC 40;1999/03/17 08:00:00.000;Daily
SMA 4 (1);4140.360931013;CAC 40;1999/03/18 08:00:00.000;Daily
SMA 4 (1);4149.028213682066;CAC 40;1999/03/19 08:00:00.000;Daily
SMA 4 (1);4150.761670215879;CAC 40;1999/03/22 08:00:00.000;Daily
SMA 4 (1);4129.093463543213;CAC 40;1999/03/23 08:00:00.000;Daily
SMA 4 (1);4102.348705592952;CAC 40;1999/03/24 08:00:00.000;Daily
SMA 4 (1);4081.547227187192;CAC 40;1999/03/25 08:00:00.000;Daily
SMA 4 (1);4078.0803141195656;CAC 40;1999/03/26 08:00:00.000;Daily
SMA 4 (1);4095.910152753074;CAC 40;1999/03/29 07:00:00.000;Daily
SMA 4 (1);4121.912000760272;CAC 40;1999/03/30 07:00:00.000;Daily
SMA 4 (1);4132.181100123243;CAC 40;1999/03/31 07:00:00.000;Daily
SMA 4 (1);4142.689284609671;CAC 40;1999/04/01 07:00:00.000;Daily
SMA 4 (1);4164.5856262833;CAC 40;1999/04/02 07:00:00.000;Daily
