Name;Value;Symbol;date;barType
ADX 4 (3);NaN;CAC 40;1999/03/01 08:00:00.000;Daily
ADX 4 (3);NaN;CAC 40;1999/03/02 08:00:00.000;Daily
ADX 4 (3);NaN;CAC 40;1999/03/03 08:00:00.000;Daily
ADX 4 (3);NaN;CAC 40;1999/03/04 08:00:00.000;Daily
ADX 4 (3);NaN;CAC 40;1999/03/05 08:00:00.000;Daily
ADX 4 (3);NaN;CAC 40;1999/03/08 08:00:00.000;Daily
ADX 4 (3);NaN;CAC 40;1999/03/09 08:00:00.000;Daily
ADX 4 (3);62.921788255649986;CAC 40;1999/03/10 08:00:00.000;Daily
ADX 4 (3);53.34992889255961;CAC 40;1999/03/11 08:00:00.000;Daily
ADX 4 (3);51.05776893465361;CAC 40;1999/03/12 08:00:00.000;Daily
ADX 4 (3);61.93276893465364;CAC 40;1999/03/15 08:00:00.000;Daily
ADX 4 (3);66.5570463913011;CAC 40;1999/03/16 08:00:00.000;Daily
ADX 4 (3);86.84550018229208;CAC 40;1999/03/17 08:00:00.000;Daily
ADX 4 (3);86.69651514287361;CAC 40;1999/03/18 08:00:00.000;Daily
ADX 4 (3);66.41873736509584;CAC 40;1999/03/19 08:00:00.000;Daily
ADX 4 (3);42.568162652452244;CAC 40;1999/03/22 08:00:00.000;Daily
ADX 4 (3);29.349164774846987;CAC 40;1999/03/23 08:00:00.000;Daily
ADX 4 (3);21.852421573413658;CAC 40;1999/03/24 08:00:00.000;Daily
ADX 4 (3);25.463532684524694;CAC 40;1999/03/25 08:00:00.000;Daily
ADX 4 (3);27.769391950013794;CAC 40;1999/03/26 08:00:00.000;Daily
ADX 4 (3);26.33355560467315;CAC 40;1999/03/29 07:00:00.000;Daily
ADX 4 (3);42.81906285105001;CAC 40;1999/03/30 07:00:00.000;Daily
ADX 4 (3);59.485729517716734;CAC 40;1999/03/31 07:00:00.000;Daily
ADX 4 (3);81.03044496487124;CAC 40;1999/04/01 07:00:00.000;Daily
ADX 4 (3);100.0;CAC 40;1999/04/02 07:00:00.000;Daily
ADX 4 (3);100.0;CAC 40;1999/04/05 07:00:00.000;Daily
ADX 4 (3);100.0;CAC 40;1999/04/06 07:00:00.000;Daily
ADX 4 (3);100.0;CAC 40;1999/04/07 07:00:00.000;Daily
ADX 4 (3);100.0;CAC 40;1999/04/08 07:00:00.000;Daily
ADX 4 (3);100.0;CAC 40;1999/04/09 07:00:00.000;Daily
ADX 4 (3);87.75510204081631;CAC 40;1999/04/12 07:00:00.000;Daily
ADX 4 (3);77.6199669056811;CAC 40;1999/04/13 07:00:00.000;Daily
ADX 4 (3);61.191395477109744;CAC 40;1999/04/14 07:00:00.000;Daily
ADX 4 (3);41.76990787380396;CAC 40;1999/04/15 07:00:00.000;Daily
ADX 4 (3);34.18358220429569;CAC 40;1999/04/16 07:00:00.000;Daily
