Name;Value;Symbol;date;barType
EMA 4 (2);NaN;CAC 40;1999/03/01 08:00:00.000;Daily
EMA 4 (2);NaN;CAC 40;1999/03/02 08:00:00.000;Daily
EMA 4 (2);NaN;CAC 40;1999/03/03 08:00:00.000;Daily
EMA 4 (2);NaN;CAC 40;1999/03/04 08:00:00.000;Daily
EMA 4 (2);NaN;CAC 40;1999/03/05 08:00:00.000;Daily
EMA 4 (2);NaN;CAC 40;1999/03/08 08:00:00.000;Daily
EMA 4 (2);NaN;CAC 40;1999/03/09 08:00:00.000;Daily
EMA 4 (2);4119.210185879342;CAC 40;1999/03/10 08:00:00.000;Daily
EMA 4 (2);4135.199192728599;CAC 40;1999/03/11 08:00:00.000;Daily
EMA 4 (2);4134.7225417091295;CAC 40;1999/03/12 08:00:00.000;Daily
EMA 4 (2);4146.901906370361;CAC 40;1999/03/15 08:00:00.000;Daily
EMA 4 (2);4152.248876867232;CAC 40;1999/03/16 08:00:00.000;Daily
EMA 4 (2);4143.589518570891;CAC 40;1999/03/17 08:00:00.000;Daily
EMA 4 (2);4132.294513905883;CAC 40;1999/03/18 08:00:00.000;Daily
EMA 4 (2);4156.064858553439;CAC 40;1999/03/19 08:00:00.000;Daily
EMA 4 (2);4159.024611766601;CAC 40;1999/03/22 08:00:00.000;Daily
EMA 4 (2);4113.977524459044;CAC 40;1999/03/23 08:00:00.000;Daily
EMA 4 (2);4072.7755409074607;CAC 40;1999/03/24 08:00:00.000;Daily
EMA 4 (2);4085.626892375857;CAC 40;1999/03/25 08:00:00.000;Daily
EMA 4 (2);4110.277634833273;CAC 40;1999/03/26 08:00:00.000;Daily
EMA 4 (2);4115.850251843516;CAC 40;1999/03/29 07:00:00.000;Daily
EMA 4 (2);4117.382825528725;CAC 40;1999/03/30 07:00:00.000;Daily
EMA 4 (2);4127.345511490515;CAC 40;1999/03/31 07:00:00.000;Daily
EMA 4 (2);4148.668618333812;CAC 40;1999/04/01 07:00:00.000;Daily
EMA 4 (2);4171.572938454252;CAC 40;1999/04/02 07:00:00.000;Daily
EMA 4 (2);4191.118635716964;CAC 40;1999/04/05 07:00:00.000;Daily
EMA 4 (2);4221.2129256170565;CAC 40;1999/04/06 07:00:00.000;Daily
EMA 4 (2);4240.104570507998;CAC 40;1999/04/07 07:00:00.000;Daily
EMA 4 (2);4261.400074818852;CAC 40;1999/04/08 07:00:00.000;Daily
EMA 4 (2);4290.343419136864;CAC 40;1999/04/09 07:00:00.000;Daily
EMA 4 (2);4301.259549873555;CAC 40;1999/04/12 07:00:00.000;Daily
EMA 4 (2);4304.131694955687;CAC 40;1999/04/13 07:00:00.000;Daily
EMA 4 (2);4300.6708690000705;CAC 40;1999/04/14 07:00:00.000;Daily
EMA 4 (2);4287.644275764022;CAC 40;1999/04/15 07:00:00.000;Daily
EMA 4 (2);4271.215051655344;CAC 40;1999/04/16 07:00:00.000;Daily
EMA 4 (2);4295.07127477344;CAC 40;1999/04/19 07:00:00.000;Daily
EMA 4 (2);4263.2868623393815;CAC 40;1999/04/20 07:00:00.000;Daily
EMA 4 (2);4260.572279454726;CAC 40;1999/04/21 07:00:00.000;Daily
EMA 4 (2);4258.190239901427;CAC 40;1999/04/22 07:00:00.000;Daily
EMA 4 (2);4241.458559715182;CAC 40;1999/04/23 07:00:00.000;Daily
EMA 4 (2);4243.05991420963;CAC 40;1999/04/26 07:00:00.000;Daily
EMA 4 (2);4279.843957276664;CAC 40;1999/04/27 07:00:00.000;Daily
EMA 4 (2);4297.753790979714;CAC 40;1999/04/28 07:00:00.000;Daily
EMA 4 (2);4310.5185063423205;CAC 40;1999/04/29 07:00:00.000;Daily
EMA 4 (2);4339.36235151616;CAC 40;1999/04/30 07:00:00.000;Daily
EMA 4 (2);4358.651676360829;CAC 40;1999/05/03 07:00:00.000;Daily
EMA 4 (2);4365.588411637145;CAC 40;1999/05/04 07:00:00.000;Daily
EMA 4 (2);4351.256897062651;CAC 40;1999/05/05 07:00:00.000;Daily
EMA 4 (2);4324.194473279712;CAC 40;1999/05/06 07:00:00.000;Daily
EMA 4 (2);4295.015745392686;CAC 40;1999/05/07 07:00:00.000;Daily
EMA 4 (2);4296.015426349162;CAC 40;1999/05/10 07:00:00.000;Daily
EMA 4 (2);4303.553695127156;CAC 40;1999/05/11 07:00:00.000;Daily
EMA 4 (2);4305.744652820305;CAC 40;1999/05/12 07:00:00.000;Daily
EMA 4 (2);4332.161263280463;CAC 40;1999/05/13 07:00:00.000;Daily
EMA 4 (2);4305.334741953857;CAC 40;1999/05/14 07:00:00.000;Daily
EMA 4 (2);4264.914829558973;CAC 40;1999/05/17 07:00:00.000;Daily
EMA 4 (2);4264.628845233544;CAC 40;1999/05/18 07:00:00.000;Daily
EMA 4 (2);4287.859908068783;CAC 40;1999/05/19 07:00:00.000;Daily
EMA 4 (2);4325.761569598082;CAC 40;1999/05/20 07:00:00.000;Daily
EMA 4 (2);4340.175974000613;CAC 40;1999/05/21 07:00:00.000;Daily
EMA 4 (2);4353.689924978494;CAC 40;1999/05/24 07:00:00.000;Daily
EMA 4 (2);4342.517470665064;CAC 40;1999/05/25 07:00:00.000;Daily
EMA 4 (2);4339.402227520146;CAC 40;1999/05/26 07:00:00.000;Daily
EMA 4 (2);4319.509237283389;CAC 40;1999/05/27 07:00:00.000;Daily
EMA 4 (2);4306.118021245171;CAC 40;1999/05/28 07:00:00.000;Daily
