Creation Date;Order ID;Instrument ID;Side;Type;Quantity;Average Price;Stop/Limit Price;Status;Processed Date;Comment;ExternalId;Tag
1999/04/01 07:00:00.000;0;CAC 40;BUY;Market;1;4107.306027169461;0.0;Filled;1999/04/01 07:00:00.000;;-1;
1999/04/15 07:00:00.000;1;CAC 40;SELL;Market;1;4253.783446933578;0.0;Filled;1999/04/15 07:00:00.000;;-1;
1999/04/28 07:00:00.000;2;CAC 40;BUY;Market;1;4358.692950278147;0.0;Filled;1999/04/28 07:00:00.000;;-1;
1999/05/10 07:00:00.000;3;CAC 40;SELL;Market;1;4259.974847537637;0.0;Filled;1999/05/10 07:00:00.000;;-1;
1999/05/20 07:00:00.000;4;CAC 40;BUY;Market;1;4333.456931154837;0.0;Filled;1999/05/20 07:00:00.000;;-1;
1999/06/01 07:00:00.000;5;CAC 40;SELL;Market;1;4326.770908851045;0.0;Filled;1999/06/01 07:00:00.000;;-1;
1999/06/08 07:00:00.000;6;CAC 40;BUY;Market;1;4400.698650078239;0.0;Filled;1999/06/08 07:00:00.000;;-1;
1999/06/25 07:00:00.000;7;CAC 40;SELL;Market;1;4433.666426571446;0.0;Filled;1999/06/25 07:00:00.000;;-1;
1999/07/05 07:00:00.000;8;CAC 40;BUY;Market;1;4643.012713283264;0.0;Filled;1999/07/05 07:00:00.000;;-1;
1999/07/13 07:00:00.000;9;CAC 40;SELL;Market;1;4665.498246225337;0.0;Filled;1999/07/13 07:00:00.000;;-1;
1999/08/03 07:00:00.000;10;CAC 40;BUY;Market;1;4360.666818414793;0.0;Filled;1999/08/03 07:00:00.000;;-1;
1999/09/01 07:00:00.000;11;CAC 40;SELL;Market;1;4558.856596158625;0.0;Filled;1999/09/01 07:00:00.000;;-1;
1999/09/13 07:00:00.000;12;CAC 40;BUY;Market;1;4741.091361797993;0.0;Filled;1999/09/13 07:00:00.000;;-1;
1999/09/16 07:00:00.000;13;CAC 40;SELL;Market;1;4623.584791604302;0.0;Filled;1999/09/16 07:00:00.000;;-1;
1999/10/05 07:00:00.000;14;CAC 40;BUY;Market;1;4592.570971895167;0.0;Filled;1999/10/05 07:00:00.000;;-1;
