Name;Value;Symbol;date;barType
SMA 1 (1);4041.6777269094873;CAC 40;1999/03/01 08:00:00.000;Daily
SMA 1 (1);3993.8838539057783;CAC 40;1999/03/02 08:00:00.000;Daily
SMA 1 (1);4025.5813448097924;CAC 40;1999/03/03 08:00:00.000;Daily
SMA 1 (1);4006.018049642471;CAC 40;1999/03/04 08:00:00.000;Daily
SMA 1 (1);4133.303286553903;CAC 40;1999/03/05 08:00:00.000;Daily
SMA 1 (1);4156.828768084226;CAC 40;1999/03/08 08:00:00.000;Daily
SMA 1 (1);4147.418575472097;CAC 40;1999/03/09 08:00:00.000;Daily
SMA 1 (1);4159.305134561102;CAC 40;1999/03/10 08:00:00.000;Daily
SMA 1 (1);4157.819314674976;CAC 40;1999/03/11 08:00:00.000;Daily
SMA 1 (1);4191.002625465116;CAC 40;1999/03/12 08:00:00.000;Daily
SMA 1 (1);4151.628398482786;CAC 40;1999/03/15 08:00:00.000;Daily
SMA 1 (1);4162.276774333353;CAC 40;1999/03/16 08:00:00.000;Daily
SMA 1 (1);4158.314587970352;CAC 40;1999/03/17 08:00:00.000;Daily
SMA 1 (1);4095.4148794576986;CAC 40;1999/03/18 08:00:00.000;Daily
SMA 1 (1);4182.582979443738;CAC 40;1999/03/19 08:00:00.000;Daily
SMA 1 (1);4163.762594219479;CAC 40;1999/03/22 08:00:00.000;Daily
SMA 1 (1);4099.872339116076;CAC 40;1999/03/23 08:00:00.000;Daily
SMA 1 (1);3991.1598507812146;CAC 40;1999/03/24 08:00:00.000;Daily
SMA 1 (1);4058.2693823045574;CAC 40;1999/03/25 08:00:00.000;Daily
SMA 1 (1);4081.2995905395046;CAC 40;1999/03/26 08:00:00.000;Daily
SMA 1 (1);4089.471599913196;CAC 40;1999/03/29 07:00:00.000;Daily
SMA 1 (1);4124.3883672371485;CAC 40;1999/03/30 07:00:00.000;Daily
SMA 1 (1);4131.059122266345;CAC 40;1999/03/31 07:00:00.000;Daily
SMA 1 (1);4149.121371662934;CAC 40;1999/04/01 07:00:00.000;Daily
SMA 1 (1);4196.874989930628;CAC 40;1999/04/02 07:00:00.000;Daily
SMA 1 (1);4203.3081198527;CAC 40;1999/04/05 07:00:00.000;Daily
SMA 1 (1);4249.577169676837;CAC 40;1999/04/06 07:00:00.000;Daily
SMA 1 (1);4281.990247361127;CAC 40;1999/04/07 07:00:00.000;Daily
SMA 1 (1);4282.97995965683;CAC 40;1999/04/08 07:00:00.000;Daily
SMA 1 (1);4341.867841251187;CAC 40;1999/04/09 07:00:00.000;Daily
SMA 1 (1);4301.289637127345;CAC 40;1999/04/12 07:00:00.000;Daily
SMA 1 (1);4336.176995550892;CAC 40;1999/04/13 07:00:00.000;Daily
SMA 1 (1);4295.103935279198;CAC 40;1999/04/14 07:00:00.000;Daily
SMA 1 (1);4282.732531582904;CAC 40;1999/04/15 07:00:00.000;Daily
SMA 1 (1);4261.701145299205;CAC 40;1999/04/16 07:00:00.000;Daily
SMA 1 (1);4296.835931796679;CAC 40;1999/04/19 07:00:00.000;Daily
SMA 1 (1);4248.340029307208;CAC 40;1999/04/20 07:00:00.000;Daily
SMA 1 (1);4235.226341389137;CAC 40;1999/04/21 07:00:00.000;Daily
SMA 1 (1);4265.659994482019;CAC 40;1999/04/22 07:00:00.000;Daily
SMA 1 (1);4251.309166194318;CAC 40;1999/04/23 07:00:00.000;Daily
SMA 1 (1);4250.5668819725415;CAC 40;1999/04/26 07:00:00.000;Daily
SMA 1 (1);4303.269061718752;CAC 40;1999/04/27 07:00:00.000;Daily
SMA 1 (1);4325.53758837208;CAC 40;1999/04/28 07:00:00.000;Daily
SMA 1 (1);4316.630177710749;CAC 40;1999/04/29 07:00:00.000;Daily
