Type;BarType;Date;Symbol;Raw Symbol;Open;High;Low;Close;SettlementPrice;Volume;OpenInterest;Duration(ms);AdjustmentFactor;AdjustmentVolume
Bar;0;1999/03/01 08:00:00.000;CAC 40;FCEH9^9;4075.6039476426895;4083.033047073318;4000.3224067456563;3991.9027607242774;3991.9027607242774;56590;149216;30600000;1.0;1.0
Bar;0;1999/03/02 08:00:00.000;CAC 40;FCEH9^9;4012.7042391300365;4031.524624354295;3956.2430834572615;4006.7609595855342;4006.7609595855342;56713;145435;30600000;1.0;1.0
Bar;0;1999/03/03 08:00:00.000;CAC 40;FCEH9^9;4025.5813448097924;4057.2788357138065;3993.8838539057783;3963.1769095925147;3963.1769095925147;38670;142044;30600000;1.0;1.0
Bar;0;1999/03/04 08:00:00.000;CAC 40;FCEH9^9;3972.0918289092688;4045.392276624801;3966.6438226601413;4071.146487984313;4071.146487984313;57869;143438;30600000;1.0;1.0
Bar;0;1999/03/05 08:00:00.000;CAC 40;FCEH9^9;4093.4337862761977;4185.554619215989;4081.051953891817;4160.2956811518525;4160.2956811518525;73818;144885;30600000;1.0;1.0
Bar;0;1999/03/08 08:00:00.000;CAC 40;FCEH9^9;4200.412818077245;4200.412818077245;4113.244718091207;4154.35240160735;4154.35240160735;48444;143316;30600000;1.0;1.0
Bar;0;1999/03/09 08:00:00.000;CAC 40;FCEH9^9;4173.172786831608;4197.441178304994;4097.3959726391995;4132.56037661084;4132.56037661084;49585;141808;30600000;1.0;1.0
Bar;0;1999/03/10 08:00:00.000;CAC 40;FCEH9^9;4168.220053877856;4197.936451600369;4120.673817521835;4125.626550475587;4125.626550475587;45049;139691;30600000;1.0;1.0
Bar;0;1999/03/11 08:00:00.000;CAC 40;FCEH9^9;4150.390215244348;4184.068799329863;4131.569830020089;4165.248414105605;4165.248414105605;42156;139397;30600000;1.0;1.0
Bar;0;1999/03/12 08:00:00.000;CAC 40;FCEH9^9;4220.223749892254;4257.369247045395;4124.636003884836;4135.532016383091;4135.532016383091;56680;137777;30600000;1.0;1.0
