Creation Date;Order ID;Instrument ID;Side;Type;Quantity;Average Price;Stop/Limit Price;Status;Processed Date;Comment;ExternalId;Tag
1999/03/16 08:00:00.000;0;CAC 40;BUY;Market;1;4165.248414105605;0.0;Filled;1999/03/16 08:00:00.000;;-1;
1999/03/17 08:00:00.000;1;CAC 40;BUY;Market;1;4151.380761835098;0.0;Filled;1999/03/17 08:00:00.000;;-1;
1999/03/18 08:00:00.000;2;CAC 40;SELL;Market;2;4115.721084568083;0.0;Filled;1999/03/18 08:00:00.000;;-1;
1999/03/19 08:00:00.000;3;CAC 40;BUY;Market;1;4147.418575472097;0.0;Filled;1999/03/19 08:00:00.000;;-1;
1999/03/22 08:00:00.000;4;CAC 40;BUY;Market;1;4174.163333422359;0.0;Filled;1999/03/22 08:00:00.000;;-1;
1999/03/23 08:00:00.000;5;CAC 40;SELL;Market;2;4144.446935699845;0.0;Filled;1999/03/23 08:00:00.000;;-1;
1999/03/26 08:00:00.000;6;CAC 40;BUY;Market;1;4148.409122062847;0.0;Filled;1999/03/26 08:00:00.000;;-1;
1999/03/29 07:00:00.000;7;CAC 40;SELL;Market;1;4069.165394802812;0.0;Filled;1999/03/29 07:00:00.000;;-1;
1999/03/30 07:00:00.000;8;CAC 40;BUY;Market;1;4139.494202746093;0.0;Filled;1999/03/30 07:00:00.000;;-1;
1999/03/31 07:00:00.000;9;CAC 40;SELL;Market;1;4106.3163148737585;0.0;Filled;1999/03/31 07:00:00.000;;-1;
1999/04/02 07:00:00.000;10;CAC 40;BUY;Market;1;4211.225818218328;0.0;Filled;1999/04/02 07:00:00.000;;-1;
1999/04/05 07:00:00.000;11;CAC 40;BUY;Market;1;4192.421284599961;0.0;Filled;1999/04/05 07:00:00.000;;-1;
1999/04/06 07:00:00.000;12;CAC 40;BUY;Market;1;4231.514920280249;0.0;Filled;1999/04/06 07:00:00.000;;-1;
1999/04/07 07:00:00.000;13;CAC 40;BUY;Market;1;4295.351363353124;0.0;Filled;1999/04/07 07:00:00.000;;-1;
1999/04/08 07:00:00.000;14;CAC 40;BUY;Market;1;4290.402801874607;0.0;Filled;1999/04/08 07:00:00.000;;-1;
1999/04/09 07:00:00.000;15;CAC 40;BUY;Market;1;4380.4666207836235;0.0;Filled;1999/04/09 07:00:00.000;;-1;
1999/04/12 07:00:00.000;16;CAC 40;BUY;Market;1;4294.36165105742;0.0;Filled;1999/04/12 07:00:00.000;;-1;
1999/04/13 07:00:00.000;17;CAC 40;BUY;Market;1;4362.65179946096;0.0;Filled;1999/04/13 07:00:00.000;;-1;
1999/04/14 07:00:00.000;18;CAC 40;BUY;Market;1;4289.413089578903;0.0;Filled;1999/04/14 07:00:00.000;;-1;
1999/04/15 07:00:00.000;19;CAC 40;BUY;Market;1;4253.783446933578;0.0;Filled;1999/04/15 07:00:00.000;;-1;
1999/04/16 07:00:00.000;20;CAC 40;BUY;Market;1;4275.557117439054;0.0;Filled;1999/04/16 07:00:00.000;;-1;
1999/04/19 07:00:00.000;21;CAC 40;SELL;Market;11;4250.319453898615;0.0;Filled;1999/04/19 07:00:00.000;;-1;
1999/04/28 07:00:00.000;22;CAC 40;BUY;Market;1;4358.692950278147;0.0;Filled;1999/04/28 07:00:00.000;;-1;
1999/04/29 07:00:00.000;23;CAC 40;BUY;Market;1;4305.248486310159;0.0;Filled;1999/04/29 07:00:00.000;;-1;
1999/04/30 07:00:00.000;24;CAC 40;BUY;Market;1;4334.449932284799;0.0;Filled;1999/04/30 07:00:00.000;;-1;
1999/05/03 07:00:00.000;25;CAC 40;BUY;Market;1;4360.267961663815;0.0;Filled;1999/05/03 07:00:00.000;;-1;
1999/05/04 07:00:00.000;26;CAC 40;BUY;Market;1;4435.736047540939;0.0;Filled;1999/05/04 07:00:00.000;;-1;
1999/05/05 07:00:00.000;27;CAC 40;BUY;Market;1;4367.218969573551;0.0;Filled;1999/05/05 07:00:00.000;;-1;
1999/05/06 07:00:00.000;28;CAC 40;BUY;Market;1;4339.911438499591;0.0;Filled;1999/05/06 07:00:00.000;;-1;
1999/05/07 07:00:00.000;29;CAC 40;SELL;Market;7;4284.799875786692;0.0;Filled;1999/05/07 07:00:00.000;;-1;
1999/05/14 07:00:00.000;30;CAC 40;BUY;Market;1;4379.134983133096;0.0;Filled;1999/05/14 07:00:00.000;;-1;
1999/05/17 07:00:00.000;31;CAC 40;SELL;Market;1;4236.142820418546;0.0;Filled;1999/05/17 07:00:00.000;;-1;
1999/05/20 07:00:00.000;32;CAC 40;BUY;Market;1;4333.456931154837;0.0;Filled;1999/05/20 07:00:00.000;;-1;
1999/05/21 07:00:00.000;33;CAC 40;BUY;Market;1;4359.274960533853;0.0;Filled;1999/05/21 07:00:00.000;;-1;
1999/05/24 07:00:00.000;34;CAC 40;BUY;Market;1;4358.281959403891;0.0;Filled;1999/05/24 07:00:00.000;;-1;
1999/05/25 07:00:00.000;35;CAC 40;BUY;Market;1;4341.400940194534;0.0;Filled;1999/05/25 07:00:00.000;;-1;
1999/05/26 07:00:00.000;36;CAC 40;SELL;Market;4;4289.764881436502;0.0;Filled;1999/05/26 07:00:00.000;;-1;
1999/05/27 07:00:00.000;37;CAC 40;BUY;Market;1;4364.2399661836635;0.0;Filled;1999/05/27 07:00:00.000;;-1;
1999/05/28 07:00:00.000;38;CAC 40;SELL;Market;1;4271.890861097183;0.0;Filled;1999/05/28 07:00:00.000;;-1;
1999/06/01 07:00:00.000;39;CAC 40;BUY;Market;1;4326.770908851045;0.0;Filled;1999/06/01 07:00:00.000;;-1;
1999/06/02 07:00:00.000;40;CAC 40;BUY;Market;1;4316.281161785024;0.0;Filled;1999/06/02 07:00:00.000;;-1;
1999/06/03 07:00:00.000;41;CAC 40;SELL;Market;2;4294.302644122885;0.0;Filled;1999/06/03 07:00:00.000;;-1;
1999/06/04 07:00:00.000;42;CAC 40;BUY;Market;1;4332.765050031628;0.0;Filled;1999/06/04 07:00:00.000;;-1;
1999/06/07 07:00:00.000;43;CAC 40;BUY;Market;1;4349.74845004328;0.0;Filled;1999/06/07 07:00:00.000;;-1;
