Name;Value;Symbol;date;barType
SMA 10 (1);NaN;CAC 40;1999/03/01 08:00:00.000;Daily
SMA 10 (1);NaN;CAC 40;1999/03/02 08:00:00.000;Daily
SMA 10 (1);NaN;CAC 40;1999/03/03 08:00:00.000;Daily
SMA 10 (1);NaN;CAC 40;1999/03/04 08:00:00.000;Daily
SMA 10 (1);NaN;CAC 40;1999/03/05 08:00:00.000;Daily
SMA 10 (1);NaN;CAC 40;1999/03/08 08:00:00.000;Daily
SMA 10 (1);NaN;CAC 40;1999/03/09 08:00:00.000;Daily
SMA 10 (1);NaN;CAC 40;1999/03/10 08:00:00.000;Daily
SMA 10 (1);NaN;CAC 40;1999/03/11 08:00:00.000;Daily
SMA 10 (1);4090.660255822096;CAC 40;1999/03/12 08:00:00.000;Daily
SMA 10 (1);4107.2023838876285;CAC 40;1999/03/15 08:00:00.000;Daily
SMA 10 (1);4122.060582748885;CAC 40;1999/03/16 08:00:00.000;Daily
SMA 10 (1);4139.048456780255;CAC 40;1999/03/17 08:00:00.000;Daily
SMA 10 (1);4143.505916438632;CAC 40;1999/03/18 08:00:00.000;Daily
SMA 10 (1);4146.675665529034;CAC 40;1999/03/19 08:00:00.000;Daily
SMA 10 (1);4147.468102801634;CAC 40;1999/03/22 08:00:00.000;Daily
SMA 10 (1);4138.850347462105;CAC 40;1999/03/23 08:00:00.000;Daily
SMA 10 (1);4127.16189769125;CAC 40;1999/03/24 08:00:00.000;Daily
SMA 10 (1);4121.515782123972;CAC 40;1999/03/25 08:00:00.000;Daily
SMA 10 (1);4122.803492691948;CAC 40;1999/03/26 08:00:00.000;Daily
SMA 10 (1);4118.841306328946;CAC 40;1999/03/29 07:00:00.000;Daily
SMA 10 (1);4114.581955988719;CAC 40;1999/03/30 07:00:00.000;Daily
SMA 10 (1);4116.262756586569;CAC 40;1999/03/31 07:00:00.000;Daily
SMA 10 (1);4123.734834130617;CAC 40;1999/04/01 07:00:00.000;Daily
SMA 10 (1);4125.064271369441;CAC 40;1999/04/02 07:00:00.000;Daily
SMA 10 (1);4130.256089446649;CAC 40;1999/04/05 07:00:00.000;Daily
SMA 10 (1);4152.282777802866;CAC 40;1999/04/06 07:00:00.000;Daily
SMA 10 (1);4178.667370581356;CAC 40;1999/04/07 07:00:00.000;Daily
SMA 10 (1);4197.224809843816;CAC 40;1999/04/08 07:00:00.000;Daily
SMA 10 (1);4215.580969466947;CAC 40;1999/04/09 07:00:00.000;Daily
SMA 10 (1);4235.622226307418;CAC 40;1999/04/12 07:00:00.000;Daily
SMA 10 (1);4255.218529762348;CAC 40;1999/04/13 07:00:00.000;Daily
SMA 10 (1);4269.767300509189;CAC 40;1999/04/14 07:00:00.000;Daily
SMA 10 (1);4277.487056415676;CAC 40;1999/04/15 07:00:00.000;Daily
SMA 10 (1);4281.54487682806;CAC 40;1999/04/16 07:00:00.000;Daily
SMA 10 (1);4292.976053843437;CAC 40;1999/04/19 07:00:00.000;Daily
SMA 10 (1);4287.631607446638;CAC 40;1999/04/20 07:00:00.000;Daily
SMA 10 (1);4285.949096543942;CAC 40;1999/04/21 07:00:00.000;Daily
SMA 10 (1);4281.891276131557;CAC 40;1999/04/22 07:00:00.000;Daily
SMA 10 (1);4270.806498419677;CAC 40;1999/04/23 07:00:00.000;Daily
SMA 10 (1);4263.28468497233;CAC 40;1999/04/26 07:00:00.000;Daily
SMA 10 (1);4265.907422555944;CAC 40;1999/04/27 07:00:00.000;Daily
SMA 10 (1);4268.678616983915;CAC 40;1999/04/28 07:00:00.000;Daily
SMA 10 (1);4275.210718135559;CAC 40;1999/04/29 07:00:00.000;Daily
SMA 10 (1);4288.7362418180655;CAC 40;1999/04/30 07:00:00.000;Daily
SMA 10 (1);4295.189269187402;CAC 40;1999/05/03 07:00:00.000;Daily
SMA 10 (1);4311.682943106744;CAC 40;1999/05/04 07:00:00.000;Daily
SMA 10 (1);4318.856548391751;CAC 40;1999/05/05 07:00:00.000;Daily
SMA 10 (1);4321.660290938074;CAC 40;1999/05/06 07:00:00.000;Daily
SMA 10 (1);4324.850380783328;CAC 40;1999/05/07 07:00:00.000;Daily
SMA 10 (1);4330.13300843687;CAC 40;1999/05/10 07:00:00.000;Daily
SMA 10 (1);4327.601513322318;CAC 40;1999/05/11 07:00:00.000;Daily
SMA 10 (1);4325.860472510626;CAC 40;1999/05/12 07:00:00.000;Daily
SMA 10 (1);4329.683526860981;CAC 40;1999/05/13 07:00:00.000;Daily
SMA 10 (1);4318.561914205405;CAC 40;1999/05/14 07:00:00.000;Daily
SMA 10 (1);4300.092093188108;CAC 40;1999/05/17 07:00:00.000;Daily
SMA 10 (1);4288.77188030654;CAC 40;1999/05/18 07:00:00.000;Daily
