Date;InstrumentID;Side;Price;Quantity;Value;TotalCost;Comment;OrderId;Factor;Currency;RawSymbol;BrokerCost;BrokerCurrency;ClearingCost;ClearingCurrency;ExchangeCost;ExchangeCurrency;NFACost;NFACurrency;GlobexCost;GlobexCurrency;Tag
1999/03/16 08:00:00.000;CAC 40;BUY;4165.248414105605;1;41652.48414105605;0.0;;0;10;EUR;FCEH9^9;;;;;;;;;;;
1999/03/19 08:00:00.000;CAC 40;SELL;4147.418575472097;1;41474.185754720966;0.0;;1;10;EUR;FCEH9^9;;;;;;;;;;;
1999/03/22 08:00:00.000;CAC 40;BUY;4174.163333422359;1;41741.63333422359;0.0;;2;10;EUR;FCEH9^9;;;;;;;;;;;
1999/03/24 08:00:00.000;CAC 40;SELL;4004.284593108658;1;40042.84593108658;0.0;;3;10;EUR;FCEH9^9;;;;;;;;;;;
1999/03/31 07:00:00.000;CAC 40;BUY;4106.3163148737585;1;41063.163148737585;0.0;;4;10;EUR;FCEJ9^9;;;;;;;;;;;
1999/04/19 07:00:00.000;CAC 40;SELL;4250.319453898615;1;42503.19453898615;0.0;;5;10;EUR;FCEJ9^9;;;;;;;;;;;
1999/04/20 07:00:00.000;CAC 40;BUY;4275.557117439054;1;42755.57117439054;0.0;;6;10;EUR;FCEJ9^9;;;;;;;;;;;
1999/04/21 07:00:00.000;CAC 40;SELL;4244.876036272246;1;42448.76036272246;0.0;;7;10;EUR;FCEJ9^9;;;;;;;;;;;
1999/04/28 07:00:00.000;CAC 40;BUY;4358.692950278147;1;43586.929502781466;0.0;;8;10;EUR;FCEJ9^9;;;;;;;;;;;
1999/05/10 07:00:00.000;CAC 40;SELL;4259.974847537637;1;42599.74847537637;0.0;;9;10;EUR;FCEK9^9;;;;;;;;;;;
1999/05/14 07:00:00.000;CAC 40;BUY;4379.134983133096;1;43791.34983133096;0.0;;10;10;EUR;FCEK9^9;;;;;;;;;;;
1999/05/17 07:00:00.000;CAC 40;SELL;4236.142820418546;1;42361.42820418546;0.0;;11;10;EUR;FCEK9^9;;;;;;;;;;;
1999/05/21 07:00:00.000;CAC 40;BUY;4359.274960533853;1;43592.74960533853;0.0;;12;10;EUR;FCEK9^9;;;;;;;;;;;
1999/05/31 07:00:00.000;CAC 40;SELL;4282.813873526767;1;42828.13873526767;0.0;;13;10;EUR;FCEM9^9;;;;;;;;;;;
1999/06/08 07:00:00.000;CAC 40;BUY;4400.698650078239;1;44006.98650078238;0.0;;14;10;EUR;FCEM9^9;;;;;;;;;;;
1999/06/28 07:00:00.000;CAC 40;SELL;4415.684003029697;1;44156.84003029697;0.0;;15;10;EUR;FCEM9^9;;;;;;;;;;;
1999/07/01 07:00:00.000;CAC 40;BUY;4578.054507006163;1;45780.54507006163;0.0;;16;10;EUR;FCEN9^9;;;;;;;;;;;
1999/07/14 07:00:00.000;CAC 40;SELL;4597.04229037947;1;45970.42290379469;0.0;;17;10;EUR;FCEN9^9;;;;;;;;;;;
1999/08/13 07:00:00.000;CAC 40;BUY;4369.645542131502;1;43696.455421315026;0.0;;18;10;EUR;FCEQ9^9;;;;;;;;;;;
1999/09/17 07:00:00.000;CAC 40;SELL;4655.450980131404;1;46554.509801314045;0.0;;19;10;EUR;FCEU9^9;;;;;;;;;;;
1999/10/06 07:00:00.000;CAC 40;BUY;4609.96519157013;1;46099.651915701295;0.0;;20;10;EUR;FCEV9^9;;;;;;;;;;;
1999/10/14 07:00:00.000;CAC 40;SELL;4557.285554840242;1;45572.855548402425;0.0;;21;10;EUR;FCEV9^9;;;;;;;;;;;
1999/10/25 07:00:00.000;CAC 40;BUY;4689.978602074958;1;46899.78602074958;0.0;;22;10;EUR;FCEV9^9;;;;;;;;;;;
2000/01/06 08:00:00.000;CAC 40;SELL;5424.614932778284;1;54246.14932778284;0.0;;23;10;EUR;FCEF0^0;;;;;;;;;;;
2000/01/17 08:00:00.000;CAC 40;BUY;5727.187022960503;1;57271.87022960503;0.0;;24;10;EUR;FCEF0^0;;;;;;;;;;;
2000/01/24 08:00:00.000;CAC 40;SELL;5618.7735704522165;1;56187.735704522165;0.0;;25;10;EUR;FCEF0^0;;;;;;;;;;;
2000/01/25 08:00:00.000;CAC 40;BUY;5517.25915583082;1;55172.5915583082;0.0;;26;10;EUR;FCEF0^0;;;;;;;;;;;
2000/01/26 08:00:00.000;CAC 40;SELL;5548.797614742322;1;55487.97614742322;0.0;;27;10;EUR;FCEF0^0;;;;;;;;;;;
2000/02/02 08:00:00.000;CAC 40;BUY;5729.447810306042;1;57294.47810306042;0.0;;28;10;EUR;FCEG0^0;;;;;;;;;;;
2000/02/16 08:00:00.000;CAC 40;SELL;6062.658104986733;1;60626.58104986732;0.0;;29;10;EUR;FCEG0^0;;;;;;;;;;;
2000/02/28 08:00:00.000;CAC 40;BUY;6064.623947433227;1;60646.239474332266;0.0;;30;10;EUR;FCEG0^0;;;;;;;;;;;
2000/03/15 08:00:00.000;CAC 40;SELL;6142.920643730721;1;61429.20643730721;0.0;;31;10;EUR;FCEH0^0;;;;;;;;;;;
2000/03/27 07:00:00.000;CAC 40;BUY;6273.329014938413;1;62733.29014938413;0.0;;32;10;EUR;FCEH0^0;;;;;;;;;;;
2000/04/03 07:00:00.000;CAC 40;SELL;6191.462675468634;1;61914.62675468634;0.0;;33;10;EUR;FCEJ0^0;;;;;;;;;;;
2000/04/12 07:00:00.000;CAC 40;BUY;6129.773264025565;1;61297.73264025565;0.0;;34;10;EUR;FCEJ0^0;;;;;;;;;;;
2000/04/17 07:00:00.000;CAC 40;SELL;5695.009792902985;1;56950.09792902986;0.0;;35;10;EUR;FCEJ0^0;;;;;;;;;;;
2000/04/26 07:00:00.000;CAC 40;BUY;6254.620882422252;1;62546.20882422252;0.0;;36;10;EUR;FCEJ0^0;;;;;;;;;;;
2000/05/11 07:00:00.000;CAC 40;SELL;6094.5221717723825;1;60945.22171772383;0.0;;37;10;EUR;FCEK0^0;;;;;;;;;;;
2000/05/17 07:00:00.000;CAC 40;BUY;6413.740396065088;1;64137.40396065088;0.0;;38;10;EUR;FCEK0^0;;;;;;;;;;;
2000/05/22 07:00:00.000;CAC 40;SELL;6061.229473533266;1;60612.29473533266;0.0;;39;10;EUR;FCEK0^0;;;;;;;;;;;
2000/05/31 07:00:00.000;CAC 40;BUY;6284.120279565437;1;62841.202795654375;0.0;;40;10;EUR;FCEM0^0;;;;;;;;;;;
2000/06/14 07:00:00.000;CAC 40;SELL;6472.349779358973;1;64723.49779358973;0.0;;41;10;EUR;FCEM0^0;;;;;;;;;;;
2000/06/15 07:00:00.000;CAC 40;BUY;6480.192675183704;1;64801.92675183703;0.0;;42;10;EUR;FCEM0^0;;;;;;;;;;;
2000/06/16 07:00:00.000;CAC 40;SELL;6435.096024191503;1;64350.960241915025;0.0;;43;10;EUR;FCEM0^0;;;;;;;;;;;
2000/06/21 07:00:00.000;CAC 40;BUY;6458.624711665694;1;64586.247116656945;0.0;;44;10;EUR;FCEM0^0;;;;;;;;;;;
2000/06/22 07:00:00.000;CAC 40;SELL;6408.136069793991;1;64081.360697939905;0.0;;45;10;EUR;FCEM0^0;;;;;;;;;;;
2000/06/27 07:00:00.000;CAC 40;BUY;6497.839190789347;1;64978.39190789347;0.0;;46;10;EUR;FCEM0^0;;;;;;;;;;;
2000/06/30 07:00:00.000;CAC 40;SELL;6267.496916186831;1;62674.969161868314;0.0;;47;10;EUR;FCEN0^0;;;;;;;;;;;
2000/07/12 07:00:00.000;CAC 40;BUY;6375.051465450568;1;63750.51465450568;0.0;;48;10;EUR;FCEN0^0;;;;;;;;;;;
2000/07/20 07:00:00.000;CAC 40;SELL;6370.162622302217;1;63701.62622302217;0.0;;49;10;EUR;FCEN0^0;;;;;;;;;;;
2000/08/03 07:00:00.000;CAC 40;BUY;6352.710735293627;1;63527.10735293628;0.0;;50;10;EUR;FCEQ0^0;;;;;;;;;;;
2000/08/04 07:00:00.000;CAC 40;SELL;6260.148232248705;1;62601.482322487056;0.0;;51;10;EUR;FCEQ0^0;;;;;;;;;;;
2000/08/08 07:00:00.000;CAC 40;BUY;6381.9409994130765;1;63819.409994130765;0.0;;52;10;EUR;FCEQ0^0;;;;;;;;;;;
2000/08/23 07:00:00.000;CAC 40;SELL;6381.9409994130765;1;63819.409994130765;0.0;;53;10;EUR;FCEQ0^0;;;;;;;;;;;
2000/08/30 07:00:00.000;CAC 40;BUY;6449.17060688781;1;64491.706068878106;0.0;;54;10;EUR;FCEQ0^0;;;;;;;;;;;
2000/09/12 07:00:00.000;CAC 40;SELL;6484.235771722348;1;64842.35771722348;0.0;;55;10;EUR;FCEU0^0;;;;;;;;;;;
2000/10/04 07:00:00.000;CAC 40;BUY;6231.181365674147;1;62311.81365674147;0.0;;56;10;EUR;FCEV0^0;;;;;;;;;;;
2000/10/09 07:00:00.000;CAC 40;SELL;6072.257478550867;1;60722.57478550867;0.0;;57;10;EUR;FCEV0^0;;;;;;;;;;;
2000/10/23 07:00:00.000;CAC 40;BUY;5991.333045230423;1;59913.330452304224;0.0;;58;10;EUR;FCEV0^0;;;;;;;;;;;
2000/11/10 08:00:00.000;CAC 40;SELL;6117.163372519617;1;61171.63372519617;0.0;;59;10;EUR;FCEX0^0;;;;;;;;;;;
2000/12/12 08:00:00.000;CAC 40;BUY;5906.8734751979755;1;59068.734751979755;0.0;;60;10;EUR;FCEZ0^0;;;;;;;;;;;
2000/12/15 08:00:00.000;CAC 40;SELL;5696.017340009968;1;56960.17340009968;0.0;;61;10;EUR;FCEZ0^0;;;;;;;;;;;
