Creation Date;Order ID;Instrument ID;Side;Type;Quantity;Average Price;Stop/Limit Price;Status;Processed Date;Comment;ExternalId;Tag
1999/03/01 16:29:59.999;0;CAC 40;BUY;Market;1;4000.3224067456563;0.0;Filled;1999/03/01 16:29:59.999;;-1;
1999/03/02 16:29:59.999;1;CAC 40;BUY;Market;2;4006.7609595855342;0.0;Filled;1999/03/02 16:29:59.999;;-1;
1999/03/03 16:29:59.999;2;CAC 40;BUY;Market;3;3993.8838539057783;0.0;Filled;1999/03/03 16:29:59.999;;-1;
1999/03/04 16:29:59.999;3;CAC 40;BUY;Market;4;4045.392276624801;0.0;Filled;1999/03/04 16:29:59.999;;-1;
1999/03/05 16:29:59.999;4;CAC 40;BUY;Market;5;4160.2956811518525;0.0;Filled;1999/03/05 16:29:59.999;;-1;
1999/03/08 16:29:59.999;5;CAC 40;BUY;Market;6;4154.35240160735;0.0;Filled;1999/03/08 16:29:59.999;;-1;
1999/03/09 16:29:59.999;6;CAC 40;BUY;Market;7;4132.56037661084;0.0;Filled;1999/03/09 16:29:59.999;;-1;
1999/03/10 16:29:59.999;7;CAC 40;BUY;Market;8;4125.626550475587;0.0;Filled;1999/03/10 16:29:59.999;;-1;
1999/03/11 16:29:59.999;8;CAC 40;BUY;Market;9;4165.248414105605;0.0;Filled;1999/03/11 16:29:59.999;;-1;
1999/03/12 16:29:59.999;9;CAC 40;BUY;Market;10;4135.532016383091;0.0;Filled;1999/03/12 16:29:59.999;;-1;
1999/03/15 16:29:59.999;10;CAC 40;BUY;Market;11;0.0;0.0;Rejected;1999/03/15 16:29:59.999;;-1;
1999/03/16 16:29:59.999;11;CAC 40;BUY;Market;12;0.0;0.0;Rejected;1999/03/16 16:29:59.999;;-1;
1999/03/17 16:29:59.999;12;CAC 40;BUY;Market;13;0.0;0.0;Rejected;1999/03/17 16:29:59.999;;-1;
1999/03/18 16:29:59.999;13;CAC 40;BUY;Market;14;0.0;0.0;Rejected;1999/03/18 16:29:59.999;;-1;
1999/03/19 16:29:59.999;14;CAC 40;BUY;Market;15;0.0;0.0;Rejected;1999/03/19 16:29:59.999;;-1;
1999/03/22 16:29:59.999;15;CAC 40;BUY;Market;16;0.0;0.0;Rejected;1999/03/22 16:29:59.999;;-1;
1999/03/23 16:29:59.999;16;CAC 40;BUY;Market;17;0.0;0.0;Rejected;1999/03/23 16:29:59.999;;-1;
1999/03/24 16:29:59.999;17;CAC 40;BUY;Market;18;0.0;0.0;Rejected;1999/03/24 16:29:59.999;;-1;
1999/03/25 16:29:59.999;18;CAC 40;BUY;Market;19;0.0;0.0;Rejected;1999/03/25 16:29:59.999;;-1;
1999/03/26 16:29:59.999;19;CAC 40;BUY;Market;20;0.0;0.0;Rejected;1999/03/26 16:29:59.999;;-1;
1999/03/29 15:29:59.999;20;CAC 40;BUY;Market;21;0.0;0.0;Rejected;1999/03/29 15:29:59.999;;-1;
1999/03/30 15:29:59.999;21;CAC 40;BUY;Market;22;0.0;0.0;Rejected;1999/03/30 15:29:59.999;;-1;
1999/03/31 15:29:59.999;22;CAC 40;BUY;Market;23;0.0;0.0;Rejected;1999/03/31 15:29:59.999;;-1;
1999/04/01 15:29:59.999;23;CAC 40;BUY;Market;24;0.0;0.0;Rejected;1999/04/01 15:29:59.999;;-1;
1999/04/02 15:29:59.999;24;CAC 40;BUY;Market;25;0.0;0.0;Rejected;1999/04/02 15:29:59.999;;-1;
1999/04/05 15:29:59.999;25;CAC 40;BUY;Market;26;0.0;0.0;Rejected;1999/04/05 15:29:59.999;;-1;
1999/04/06 15:29:59.999;26;CAC 40;BUY;Market;27;0.0;0.0;Rejected;1999/04/06 15:29:59.999;;-1;
1999/04/07 15:29:59.999;27;CAC 40;BUY;Market;28;0.0;0.0;Rejected;1999/04/07 15:29:59.999;;-1;
1999/04/08 15:29:59.999;28;CAC 40;BUY;Market;29;0.0;0.0;Rejected;1999/04/08 15:29:59.999;;-1;
1999/04/09 15:29:59.999;29;CAC 40;BUY;Market;30;0.0;0.0;Rejected;1999/04/09 15:29:59.999;;-1;
1999/04/12 15:29:59.999;30;CAC 40;BUY;Market;31;0.0;0.0;Rejected;1999/04/12 15:29:59.999;;-1;
1999/04/13 15:29:59.999;31;CAC 40;BUY;Market;32;0.0;0.0;Rejected;1999/04/13 15:29:59.999;;-1;
1999/04/14 15:29:59.999;32;CAC 40;BUY;Market;33;0.0;0.0;Rejected;1999/04/14 15:29:59.999;;-1;
1999/04/15 15:29:59.999;33;CAC 40;BUY;Market;34;0.0;0.0;Rejected;1999/04/15 15:29:59.999;;-1;
1999/04/16 15:29:59.999;34;CAC 40;BUY;Market;35;0.0;0.0;Rejected;1999/04/16 15:29:59.999;;-1;
1999/04/19 15:29:59.999;35;CAC 40;BUY;Market;36;0.0;0.0;Rejected;1999/04/19 15:29:59.999;;-1;
1999/04/20 15:29:59.999;36;CAC 40;BUY;Market;37;0.0;0.0;Rejected;1999/04/20 15:29:59.999;;-1;
1999/04/21 15:29:59.999;37;CAC 40;BUY;Market;38;0.0;0.0;Rejected;1999/04/21 15:29:59.999;;-1;
1999/04/22 15:29:59.999;38;CAC 40;BUY;Market;39;0.0;0.0;Rejected;1999/04/22 15:29:59.999;;-1;
1999/04/23 15:29:59.999;39;CAC 40;BUY;Market;40;0.0;0.0;Rejected;1999/04/23 15:29:59.999;;-1;
1999/04/26 15:29:59.999;40;CAC 40;BUY;Market;41;0.0;0.0;Rejected;1999/04/26 15:29:59.999;;-1;
1999/04/27 15:29:59.999;41;CAC 40;BUY;Market;42;0.0;0.0;Rejected;1999/04/27 15:29:59.999;;-1;
1999/04/28 15:29:59.999;42;CAC 40;BUY;Market;43;0.0;0.0;Rejected;1999/04/28 15:29:59.999;;-1;
1999/04/29 15:29:59.999;43;CAC 40;BUY;Market;44;0.0;0.0;Rejected;1999/04/29 15:29:59.999;;-1;
1999/04/30 15:29:59.999;44;CAC 40;BUY;Market;45;0.0;0.0;Rejected;1999/04/30 15:29:59.999;;-1;
1999/05/03 15:29:59.999;45;CAC 40;BUY;Market;46;0.0;0.0;Rejected;1999/05/03 15:29:59.999;;-1;
1999/05/04 15:29:59.999;46;CAC 40;BUY;Market;47;0.0;0.0;Rejected;1999/05/04 15:29:59.999;;-1;
1999/05/05 15:29:59.999;47;CAC 40;BUY;Market;48;0.0;0.0;Rejected;1999/05/05 15:29:59.999;;-1;
