Date;InstrumentID;Side;Price;Quantity;Value;TotalCost;Comment;OrderId;Factor;Currency;RawSymbol;BrokerCost;BrokerCurrency;ClearingCost;ClearingCurrency;ExchangeCost;ExchangeCurrency;NFACost;NFACurrency;GlobexCost;GlobexCurrency;Tag
1999/03/01 16:29:59.999;CAC 40;BUY;4000.3224067456563;1;40003.22406745656;0.0;;0;10;EUR;FCEH9^9;;;;;;;;;;;
1999/03/02 16:29:59.999;CAC 40;BUY;4006.7609595855342;2;80135.21919171068;0.0;;1;10;EUR;FCEH9^9;;;;;;;;;;;
1999/03/03 16:29:59.999;CAC 40;BUY;3993.8838539057783;3;119816.51561717335;0.0;;2;10;EUR;FCEH9^9;;;;;;;;;;;
1999/03/04 16:29:59.999;CAC 40;BUY;4045.392276624801;4;161815.69106499205;0.0;;3;10;EUR;FCEH9^9;;;;;;;;;;;
1999/03/05 16:29:59.999;CAC 40;BUY;4160.2956811518525;5;208014.78405759262;0.0;;4;10;EUR;FCEH9^9;;;;;;;;;;;
1999/03/08 16:29:59.999;CAC 40;BUY;4154.35240160735;6;249261.14409644098;0.0;;5;10;EUR;FCEH9^9;;;;;;;;;;;
1999/03/09 16:29:59.999;CAC 40;BUY;4132.56037661084;7;289279.2263627588;0.0;;6;10;EUR;FCEH9^9;;;;;;;;;;;
1999/03/10 16:29:59.999;CAC 40;BUY;4125.626550475587;8;330050.1240380469;0.0;;7;10;EUR;FCEH9^9;;;;;;;;;;;
1999/03/11 16:29:59.999;CAC 40;BUY;4165.248414105605;9;374872.35726950446;0.0;;8;10;EUR;FCEH9^9;;;;;;;;;;;
1999/03/12 16:29:59.999;CAC 40;BUY;4135.532016383091;10;413553.2016383091;0.0;;9;10;EUR;FCEH9^9;;;;;;;;;;;
