Creation Date;Order ID;Instrument ID;Side;Type;Quantity;Average Price;Stop/Limit Price;Status;Processed Date;Comment;ExternalId;Tag
1999/03/18 08:00:00.000;0;CAC 40;BUY;Market;1;4115.721084568083;0.0;Filled;1999/03/18 08:00:00.000;;-1;
1999/03/19 08:00:00.000;1;CAC 40;SELL;Market;1;4147.418575472097;0.0;Filled;1999/03/19 08:00:00.000;;-1;
1999/03/23 08:00:00.000;2;CAC 40;BUY;Market;1;4144.446935699845;0.0;Filled;1999/03/23 08:00:00.000;;-1;
1999/03/24 08:00:00.000;3;CAC 40;BUY;Market;1;4004.284593108658;0.0;Filled;1999/03/24 08:00:00.000;;-1;
1999/03/25 08:00:00.000;4;CAC 40;BUY;Market;1;4011.713692539286;0.0;Filled;1999/03/25 08:00:00.000;;-1;
1999/03/26 08:00:00.000;5;CAC 40;SELL;Market;3;4148.409122062847;0.0;Filled;1999/03/26 08:00:00.000;;-1;
1999/03/29 07:00:00.000;6;CAC 40;BUY;Market;1;4069.165394802812;0.0;Filled;1999/03/29 07:00:00.000;;-1;
1999/03/30 07:00:00.000;7;CAC 40;SELL;Market;1;4139.494202746093;0.0;Filled;1999/03/30 07:00:00.000;;-1;
1999/03/31 07:00:00.000;8;CAC 40;BUY;Market;1;4106.3163148737585;0.0;Filled;1999/03/31 07:00:00.000;;-1;
1999/04/01 07:00:00.000;9;CAC 40;BUY;Market;1;4107.306027169461;0.0;Filled;1999/04/01 07:00:00.000;;-1;
1999/04/02 07:00:00.000;10;CAC 40;SELL;Market;2;4211.225818218328;0.0;Filled;1999/04/02 07:00:00.000;;-1;
1999/04/19 07:00:00.000;11;CAC 40;BUY;Market;1;4250.319453898615;0.0;Filled;1999/04/19 07:00:00.000;;-1;
1999/04/20 07:00:00.000;12;CAC 40;BUY;Market;1;4275.557117439054;0.0;Filled;1999/04/20 07:00:00.000;;-1;
1999/04/21 07:00:00.000;13;CAC 40;BUY;Market;1;4244.876036272246;0.0;Filled;1999/04/21 07:00:00.000;;-1;
1999/04/22 07:00:00.000;14;CAC 40;BUY;Market;1;4288.423377283199;0.0;Filled;1999/04/22 07:00:00.000;;-1;
1999/04/23 07:00:00.000;15;CAC 40;BUY;Market;1;4274.567405143351;0.0;Filled;1999/04/23 07:00:00.000;;-1;
1999/04/26 07:00:00.000;16;CAC 40;BUY;Market;1;4246.855460863653;0.0;Filled;1999/04/26 07:00:00.000;;-1;
1999/04/27 07:00:00.000;17;CAC 40;BUY;Market;1;4265.659994482019;0.0;Filled;1999/04/27 07:00:00.000;;-1;
1999/04/28 07:00:00.000;18;CAC 40;SELL;Market;7;4358.692950278147;0.0;Filled;1999/04/28 07:00:00.000;;-1;
1999/05/07 07:00:00.000;19;CAC 40;BUY;Market;1;4284.799875786692;0.0;Filled;1999/05/07 07:00:00.000;;-1;
1999/05/10 07:00:00.000;20;CAC 40;BUY;Market;1;4259.974847537637;0.0;Filled;1999/05/10 07:00:00.000;;-1;
1999/05/11 07:00:00.000;21;CAC 40;BUY;Market;1;4290.261382001483;0.0;Filled;1999/05/11 07:00:00.000;;-1;
1999/05/12 07:00:00.000;22;CAC 40;BUY;Market;1;4307.638901775821;0.0;Filled;1999/05/12 07:00:00.000;;-1;
1999/05/13 07:00:00.000;23;CAC 40;BUY;Market;1;4319.554915335367;0.0;Filled;1999/05/13 07:00:00.000;;-1;
1999/05/14 07:00:00.000;24;CAC 40;SELL;Market;5;4379.134983133096;0.0;Filled;1999/05/14 07:00:00.000;;-1;
1999/05/17 07:00:00.000;25;CAC 40;BUY;Market;1;4236.142820418546;0.0;Filled;1999/05/17 07:00:00.000;;-1;
1999/05/18 07:00:00.000;26;CAC 40;BUY;Market;1;4218.268800079227;0.0;Filled;1999/05/18 07:00:00.000;;-1;
1999/05/19 07:00:00.000;27;CAC 40;BUY;Market;1;4294.729887086313;0.0;Filled;1999/05/19 07:00:00.000;;-1;
1999/05/20 07:00:00.000;28;CAC 40;SELL;Market;3;4333.456931154837;0.0;Filled;1999/05/20 07:00:00.000;;-1;
1999/05/26 07:00:00.000;29;CAC 40;BUY;Market;1;4289.764881436502;0.0;Filled;1999/05/26 07:00:00.000;;-1;
1999/05/27 07:00:00.000;30;CAC 40;SELL;Market;1;4364.2399661836635;0.0;Filled;1999/05/27 07:00:00.000;;-1;
1999/05/28 07:00:00.000;31;CAC 40;BUY;Market;1;4271.890861097183;0.0;Filled;1999/05/28 07:00:00.000;;-1;
1999/05/31 07:00:00.000;32;CAC 40;BUY;Market;1;4282.813873526767;0.0;Filled;1999/05/31 07:00:00.000;;-1;
1999/06/01 07:00:00.000;33;CAC 40;SELL;Market;2;4326.770908851045;0.0;Filled;1999/06/01 07:00:00.000;;-1;
1999/06/03 07:00:00.000;34;CAC 40;BUY;Market;1;4294.302644122885;0.0;Filled;1999/06/03 07:00:00.000;;-1;
1999/06/04 07:00:00.000;35;CAC 40;SELL;Market;1;4332.765050031628;0.0;Filled;1999/06/04 07:00:00.000;;-1;
1999/06/25 07:00:00.000;36;CAC 40;BUY;Market;1;4433.666426571446;0.0;Filled;1999/06/25 07:00:00.000;;-1;
1999/06/28 07:00:00.000;37;CAC 40;BUY;Market;1;4415.684003029697;0.0;Filled;1999/06/28 07:00:00.000;;-1;
1999/06/29 07:00:00.000;38;CAC 40;SELL;Market;2;4469.631273654946;0.0;Filled;1999/06/29 07:00:00.000;;-1;
1999/07/14 07:00:00.000;39;CAC 40;BUY;Market;1;4597.04229037947;0.0;Filled;1999/07/14 07:00:00.000;;-1;
1999/07/15 07:00:00.000;40;CAC 40;BUY;Market;1;4614.03135971348;0.0;Filled;1999/07/15 07:00:00.000;;-1;
1999/07/16 07:00:00.000;41;CAC 40;SELL;Market;2;4676.9908519512865;0.0;Filled;1999/07/16 07:00:00.000;;-1;
1999/07/20 07:00:00.000;42;CAC 40;BUY;Market;1;4619.028144811719;0.0;Filled;1999/07/20 07:00:00.000;;-1;
1999/07/21 07:00:00.000;43;CAC 40;BUY;Market;1;4512.096943709414;0.0;Filled;1999/07/21 07:00:00.000;;-1;
1999/07/22 07:00:00.000;44;CAC 40;BUY;Market;1;4479.11816206104;0.0;Filled;1999/07/22 07:00:00.000;;-1;
1999/07/23 07:00:00.000;45;CAC 40;BUY;Market;1;4467.125877825267;0.0;Filled;1999/07/23 07:00:00.000;;-1;
1999/07/26 07:00:00.000;46;CAC 40;BUY;Market;1;4433.147739157244;0.0;Filled;1999/07/26 07:00:00.000;;-1;
1999/07/27 07:00:00.000;47;CAC 40;BUY;Market;1;4402.167671548165;0.0;Filled;1999/07/27 07:00:00.000;;-1;
1999/07/28 07:00:00.000;48;CAC 40;BUY;Market;1;4427.151597039358;0.0;Filled;1999/07/28 07:00:00.000;;-1;
1999/07/29 07:00:00.000;49;CAC 40;BUY;Market;1;4423.1541689607675;0.0;Filled;1999/07/29 07:00:00.000;;-1;
1999/07/30 07:00:00.000;50;CAC 40;BUY;Market;1;4289.240328327975;0.0;Filled;1999/07/30 07:00:00.000;;-1;
1999/08/02 07:00:00.000;51;CAC 40;BUY;Market;1;4319.763743705343;0.0;Filled;1999/08/02 07:00:00.000;;-1;
1999/08/03 07:00:00.000;52;CAC 40;BUY;Market;1;4360.666818414793;0.0;Filled;1999/08/03 07:00:00.000;;-1;
1999/08/04 07:00:00.000;53;CAC 40;SELL;Market;11;4334.728283233191;0.0;Filled;1999/08/04 07:00:00.000;;-1;
1999/08/05 07:00:00.000;54;CAC 40;BUY;Market;1;4274.8701251218;0.0;Filled;1999/08/05 07:00:00.000;;-1;
1999/08/06 07:00:00.000;55;CAC 40;BUY;Market;1;4259.905585593952;0.0;Filled;1999/08/06 07:00:00.000;;-1;
1999/08/09 07:00:00.000;56;CAC 40;BUY;Market;1;4220.000146853025;0.0;Filled;1999/08/09 07:00:00.000;;-1;
1999/08/10 07:00:00.000;57;CAC 40;BUY;Market;1;4276.865397058847;0.0;Filled;1999/08/10 07:00:00.000;;-1;
1999/08/11 07:00:00.000;58;CAC 40;BUY;Market;1;4229.976506538257;0.0;Filled;1999/08/11 07:00:00.000;;-1;
1999/08/12 07:00:00.000;59;CAC 40;BUY;Market;1;4294.822844492263;0.0;Filled;1999/08/12 07:00:00.000;;-1;
1999/08/13 07:00:00.000;60;CAC 40;SELL;Market;6;4369.645542131502;0.0;Filled;1999/08/13 07:00:00.000;;-1;
1999/09/03 07:00:00.000;61;CAC 40;BUY;Market;1;4540.931865112129;0.0;Filled;1999/09/03 07:00:00.000;;-1;
1999/09/06 07:00:00.000;62;CAC 40;SELL;Market;1;4665.90707324186;0.0;Filled;1999/09/06 07:00:00.000;;-1;
1999/09/16 07:00:00.000;63;CAC 40;BUY;Market;1;4623.584791604302;0.0;Filled;1999/09/16 07:00:00.000;;-1;
1999/09/17 07:00:00.000;64;CAC 40;BUY;Market;1;4655.450980131404;0.0;Filled;1999/09/17 07:00:00.000;;-1;
1999/09/20 07:00:00.000;65;CAC 40;SELL;Market;2;4668.39661922054;0.0;Filled;1999/09/20 07:00:00.000;;-1;
1999/09/21 07:00:00.000;66;CAC 40;BUY;Market;1;4674.371529569372;0.0;Filled;1999/09/21 07:00:00.000;;-1;
1999/09/22 07:00:00.000;67;CAC 40;BUY;Market;1;4571.80223524776;0.0;Filled;1999/09/22 07:00:00.000;;-1;
1999/09/23 07:00:00.000;68;CAC 40;BUY;Market;1;4575.7855088136475;0.0;Filled;1999/09/23 07:00:00.000;;-1;
1999/09/24 07:00:00.000;69;CAC 40;BUY;Market;1;4519.023860499746;0.0;Filled;1999/09/24 07:00:00.000;;-1;
1999/09/27 07:00:00.000;70;CAC 40;BUY;Market;1;4527.488316827258;0.0;Filled;1999/09/27 07:00:00.000;;-1;
1999/09/28 07:00:00.000;71;CAC 40;BUY;Market;1;4578.772963988064;0.0;Filled;1999/09/28 07:00:00.000;;-1;
1999/09/29 07:00:00.000;72;CAC 40;BUY;Market;1;4541.927683503601;0.0;Filled;1999/09/29 07:00:00.000;;-1;
1999/09/30 07:00:00.000;73;CAC 40;BUY;Market;1;4502.618007290359;0.0;Filled;1999/09/30 07:00:00.000;;-1;
1999/10/01 07:00:00.000;74;CAC 40;BUY;Market;1;4572.19488599021;0.0;Filled;1999/10/01 07:00:00.000;;-1;
1999/10/04 07:00:00.000;75;CAC 40;BUY;Market;1;4508.581739750346;0.0;Filled;1999/10/04 07:00:00.000;;-1;
1999/10/05 07:00:00.000;76;CAC 40;SELL;Market;10;4592.570971895167;0.0;Filled;1999/10/05 07:00:00.000;;-1;
1999/10/13 07:00:00.000;77;CAC 40;BUY;Market;1;4574.182796810206;0.0;Filled;1999/10/13 07:00:00.000;;-1;
1999/10/14 07:00:00.000;78;CAC 40;BUY;Market;1;4557.285554840242;0.0;Filled;1999/10/14 07:00:00.000;;-1;
1999/10/15 07:00:00.000;79;CAC 40;BUY;Market;1;4537.406446640285;0.0;Filled;1999/10/15 07:00:00.000;;-1;
1999/10/18 07:00:00.000;80;CAC 40;BUY;Market;1;4480.254010565407;0.0;Filled;1999/10/18 07:00:00.000;;-1;
1999/10/19 07:00:00.000;81;CAC 40;BUY;Market;1;4490.690542370385;0.0;Filled;1999/10/19 07:00:00.000;;-1;
1999/10/20 07:00:00.000;82;CAC 40;BUY;Market;1;4565.734175825224;0.0;Filled;1999/10/20 07:00:00.000;;-1;
1999/10/21 07:00:00.000;83;CAC 40;BUY;Market;1;4569.213019760216;0.0;Filled;1999/10/21 07:00:00.000;;-1;
1999/10/22 07:00:00.000;84;CAC 40;BUY;Market;1;4592.0739941901675;0.0;Filled;1999/10/22 07:00:00.000;;-1;
1999/10/25 07:00:00.000;85;CAC 40;SELL;Market;8;4689.978602074958;0.0;Filled;1999/10/25 07:00:00.000;;-1;
1999/12/21 08:00:00.000;86;CAC 40;BUY;Market;1;5469.726759248356;0.0;Filled;1999/12/21 08:00:00.000;;-1;
1999/12/22 08:00:00.000;87;CAC 40;SELL;Market;1;5529.158777639319;0.0;Filled;1999/12/22 08:00:00.000;;-1;
2000/01/05 08:00:00.000;88;CAC 40;BUY;Market;1;5494.590888488178;0.0;Filled;2000/01/05 08:00:00.000;;-1;
2000/01/06 08:00:00.000;89;CAC 40;BUY;Market;1;5424.614932778284;0.0;Filled;2000/01/06 08:00:00.000;;-1;
2000/01/07 08:00:00.000;90;CAC 40;BUY;Market;1;5388.148589661861;0.0;Filled;2000/01/07 08:00:00.000;;-1;
2000/01/10 08:00:00.000;91;CAC 40;BUY;Market;1;5519.230309512789;0.0;Filled;2000/01/10 08:00:00.000;;-1;
2000/01/11 08:00:00.000;92;CAC 40;BUY;Market;1;5598.569245212036;0.0;Filled;2000/01/11 08:00:00.000;;-1;
2000/01/12 08:00:00.000;93;CAC 40;BUY;Market;1;5475.864928509474;0.0;Filled;2000/01/12 08:00:00.000;;-1;
2000/01/13 08:00:00.000;94;CAC 40;BUY;Market;1;5524.158193717712;0.0;Filled;2000/01/13 08:00:00.000;;-1;
2000/01/14 08:00:00.000;95;CAC 40;BUY;Market;1;5563.088478936596;0.0;Filled;2000/01/14 08:00:00.000;;-1;
2000/01/17 08:00:00.000;96;CAC 40;SELL;Market;8;5727.187022960503;0.0;Filled;2000/01/17 08:00:00.000;;-1;
2000/01/25 08:00:00.000;97;CAC 40;BUY;Market;1;5517.25915583082;0.0;Filled;2000/01/25 08:00:00.000;;-1;
2000/01/26 08:00:00.000;98;CAC 40;BUY;Market;1;5548.797614742322;0.0;Filled;2000/01/26 08:00:00.000;;-1;
2000/01/27 08:00:00.000;99;CAC 40;SELL;Market;2;5598.076456791543;0.0;Filled;2000/01/27 08:00:00.000;;-1;
2000/01/28 08:00:00.000;100;CAC 40;BUY;Market;1;5603.0043409964655;0.0;Filled;2000/01/28 08:00:00.000;;-1;
2000/01/31 08:00:00.000;101;CAC 40;BUY;Market;1;5582.992548042257;0.0;Filled;2000/01/31 08:00:00.000;;-1;
2000/02/01 08:00:00.000;102;CAC 40;BUY;Market;1;5606.582657400182;0.0;Filled;2000/02/01 08:00:00.000;;-1;
2000/02/02 08:00:00.000;103;CAC 40;SELL;Market;3;5729.447810306042;0.0;Filled;2000/02/02 08:00:00.000;;-1;
2000/02/17 08:00:00.000;104;CAC 40;BUY;Market;1;5962.400140215552;0.0;Filled;2000/02/17 08:00:00.000;;-1;
2000/02/18 08:00:00.000;105;CAC 40;BUY;Market;1;6089.196978014398;0.0;Filled;2000/02/18 08:00:00.000;;-1;
2000/02/21 08:00:00.000;106;CAC 40;BUY;Market;1;5880.81767868606;0.0;Filled;2000/02/21 08:00:00.000;;-1;
2000/02/22 08:00:00.000;107;CAC 40;BUY;Market;1;5882.783521132555;0.0;Filled;2000/02/22 08:00:00.000;;-1;
2000/02/23 08:00:00.000;108;CAC 40;BUY;Market;1;5936.844188411133;0.0;Filled;2000/02/23 08:00:00.000;;-1;
2000/02/24 08:00:00.000;109;CAC 40;BUY;Market;1;5981.075643457242;0.0;Filled;2000/02/24 08:00:00.000;;-1;
2000/02/25 08:00:00.000;110;CAC 40;BUY;Market;1;5987.95609201997;0.0;Filled;2000/02/25 08:00:00.000;;-1;
2000/02/28 08:00:00.000;111;CAC 40;SELL;Market;7;6064.623947433227;0.0;Filled;2000/02/28 08:00:00.000;;-1;
2000/03/14 08:00:00.000;112;CAC 40;BUY;Market;1;6211.556628576875;0.0;Filled;2000/03/14 08:00:00.000;;-1;
2000/03/15 08:00:00.000;113;CAC 40;BUY;Market;1;6142.920643730721;0.0;Filled;2000/03/15 08:00:00.000;;-1;
2000/03/16 08:00:00.000;114;CAC 40;BUY;Market;1;6131.644731934567;0.0;Filled;2000/03/16 08:00:00.000;;-1;
2000/03/17 08:00:00.000;115;CAC 40;SELL;Market;3;6314.510605846104;0.0;Filled;2000/03/17 08:00:00.000;;-1;
2000/03/20 08:00:00.000;116;CAC 40;BUY;Market;1;6194.887889399952;0.0;Filled;2000/03/20 08:00:00.000;;-1;
2000/03/21 08:00:00.000;117;CAC 40;BUY;Market;1;6221.361769269182;0.0;Filled;2000/03/21 08:00:00.000;;-1;
2000/03/22 08:00:00.000;118;CAC 40;SELL;Market;2;6294.90032446149;0.0;Filled;2000/03/22 08:00:00.000;;-1;
2000/03/23 08:00:00.000;119;CAC 40;BUY;Market;1;6218.42022706149;0.0;Filled;2000/03/23 08:00:00.000;;-1;
2000/03/24 08:00:00.000;120;CAC 40;BUY;Market;1;6226.264339615336;0.0;Filled;2000/03/24 08:00:00.000;;-1;
2000/03/27 07:00:00.000;121;CAC 40;SELL;Market;2;6273.329014938413;0.0;Filled;2000/03/27 07:00:00.000;;-1;
2000/03/31 07:00:00.000;122;CAC 40;BUY;Market;1;6136.627643074795;0.0;Filled;2000/03/31 07:00:00.000;;-1;
2000/04/03 07:00:00.000;123;CAC 40;BUY;Market;1;6191.462675468634;0.0;Filled;2000/04/03 07:00:00.000;;-1;
2000/04/04 07:00:00.000;124;CAC 40;BUY;Market;1;6002.477653111296;0.0;Filled;2000/04/04 07:00:00.000;;-1;
2000/04/05 07:00:00.000;125;CAC 40;BUY;Market;1;6002.477653111296;0.0;Filled;2000/04/05 07:00:00.000;;-1;
2000/04/06 07:00:00.000;126;CAC 40;BUY;Market;1;5924.141892548669;0.0;Filled;2000/04/06 07:00:00.000;;-1;
2000/04/07 07:00:00.000;127;CAC 40;BUY;Market;1;6115.085308920073;0.0;Filled;2000/04/07 07:00:00.000;;-1;
2000/04/10 07:00:00.000;128;CAC 40;SELL;Market;6;6217.90099465852;0.0;Filled;2000/04/10 07:00:00.000;;-1;
2000/04/11 07:00:00.000;129;CAC 40;BUY;Market;1;6166.00355328578;0.0;Filled;2000/04/11 07:00:00.000;;-1;
2000/04/12 07:00:00.000;130;CAC 40;BUY;Market;1;6129.773264025565;0.0;Filled;2000/04/12 07:00:00.000;;-1;
2000/04/13 07:00:00.000;131;CAC 40;BUY;Market;1;6009.8216306640425;0.0;Filled;2000/04/13 07:00:00.000;;-1;
2000/04/14 07:00:00.000;132;CAC 40;BUY;Market;1;6075.917428638759;0.0;Filled;2000/04/14 07:00:00.000;;-1;
2000/04/17 07:00:00.000;133;CAC 40;BUY;Market;1;5695.009792902985;0.0;Filled;2000/04/17 07:00:00.000;;-1;
2000/04/18 07:00:00.000;134;CAC 40;BUY;Market;1;6025.488782776568;0.0;Filled;2000/04/18 07:00:00.000;;-1;
2000/04/19 07:00:00.000;135;CAC 40;SELL;Market;6;6091.584580751284;0.0;Filled;2000/04/19 07:00:00.000;;-1;
2000/04/20 07:00:00.000;136;CAC 40;BUY;Market;1;6017.165608216788;0.0;Filled;2000/04/20 07:00:00.000;;-1;
2000/04/25 07:00:00.000;137;CAC 40;SELL;Market;1;6089.136588233702;0.0;Filled;2000/04/25 07:00:00.000;;-1;
2000/05/10 07:00:00.000;138;CAC 40;BUY;Market;1;6215.942600644455;0.0;Filled;2000/05/10 07:00:00.000;;-1;
2000/05/11 07:00:00.000;139;CAC 40;BUY;Market;1;6094.5221717723825;0.0;Filled;2000/05/11 07:00:00.000;;-1;
2000/05/12 07:00:00.000;140;CAC 40;BUY;Market;1;6266.860845010162;0.0;Filled;2000/05/12 07:00:00.000;;-1;
2000/05/15 07:00:00.000;141;CAC 40;SELL;Market;3;6287.423982157852;0.0;Filled;2000/05/15 07:00:00.000;;-1;
2000/05/19 07:00:00.000;142;CAC 40;BUY;Market;1;6299.663944745762;0.0;Filled;2000/05/19 07:00:00.000;;-1;
2000/05/22 07:00:00.000;143;CAC 40;BUY;Market;1;6061.229473533266;0.0;Filled;2000/05/22 07:00:00.000;;-1;
2000/05/23 07:00:00.000;144;CAC 40;BUY;Market;1;6012.269623181624;0.0;Filled;2000/05/23 07:00:00.000;;-1;
2000/05/24 07:00:00.000;145;CAC 40;BUY;Market;1;5938.829847654161;0.0;Filled;2000/05/24 07:00:00.000;;-1;
2000/05/25 07:00:00.000;146;CAC 40;BUY;Market;1;5990.727289026902;0.0;Filled;2000/05/25 07:00:00.000;;-1;
2000/05/26 07:00:00.000;147;CAC 40;BUY;Market;1;5921.20430152757;0.0;Filled;2000/05/26 07:00:00.000;;-1;
2000/05/29 07:00:00.000;148;CAC 40;BUY;Market;1;6022.061593251953;0.0;Filled;2000/05/29 07:00:00.000;;-1;
2000/05/30 07:00:00.000;149;CAC 40;BUY;Market;1;6081.303012177439;0.0;Filled;2000/05/30 07:00:00.000;;-1;
