Name;Value;Symbol;date;barType
SMA 300 (2);NaN;CAC 40;1999/10/01 07:00:00.000;Daily
SMA 300 (2);NaN;E-MINI S&P;1999/10/01 13:30:00.000;Daily
SMA 300 (2);NaN;CAC 40;1999/10/04 07:00:00.000;Daily
SMA 300 (2);NaN;E-MINI S&P;1999/10/04 13:30:00.000;Daily
SMA 300 (2);NaN;CAC 40;1999/10/05 07:00:00.000;Daily
SMA 300 (2);NaN;E-MINI S&P;1999/10/05 13:30:00.000;Daily
SMA 300 (2);NaN;CAC 40;1999/10/06 07:00:00.000;Daily
SMA 300 (2);NaN;E-MINI S&P;1999/10/06 13:30:00.000;Daily
SMA 300 (2);NaN;CAC 40;1999/10/07 07:00:00.000;Daily
SMA 300 (2);NaN;E-MINI S&P;1999/10/07 13:30:00.000;Daily
SMA 300 (2);NaN;CAC 40;1999/10/08 07:00:00.000;Daily
SMA 300 (2);NaN;E-MINI S&P;1999/10/08 13:30:00.000;Daily
SMA 300 (2);NaN;CAC 40;1999/10/11 07:00:00.000;Daily
SMA 300 (2);NaN;E-MINI S&P;1999/10/11 13:30:00.000;Daily
SMA 300 (2);NaN;CAC 40;1999/10/12 07:00:00.000;Daily
SMA 300 (2);NaN;E-MINI S&P;1999/10/12 13:30:00.000;Daily
SMA 300 (2);NaN;CAC 40;1999/10/13 07:00:00.000;Daily
SMA 300 (2);NaN;E-MINI S&P;1999/10/13 13:30:00.000;Daily
SMA 300 (2);NaN;CAC 40;1999/10/14 07:00:00.000;Daily
SMA 300 (2);NaN;E-MINI S&P;1999/10/14 13:30:00.000;Daily
SMA 300 (2);NaN;CAC 40;1999/10/15 07:00:00.000;Daily
SMA 300 (2);NaN;E-MINI S&P;1999/10/15 13:30:00.000;Daily
SMA 300 (2);NaN;CAC 40;1999/10/18 07:00:00.000;Daily
SMA 300 (2);NaN;E-MINI S&P;1999/10/18 13:30:00.000;Daily
SMA 300 (2);NaN;CAC 40;1999/10/19 07:00:00.000;Daily
SMA 300 (2);NaN;E-MINI S&P;1999/10/19 13:30:00.000;Daily
SMA 300 (2);NaN;CAC 40;1999/10/20 07:00:00.000;Daily
