Creation Date;Order ID;Instrument ID;Side;Type;Quantity;Average Price;Stop/Limit Price;Status;Processed Date;Comment;ExternalId;Tag
1999/03/01 08:00:00.000;0;CAC 40;BUY;Market;1;4075.6039476426895;0.0;Filled;1999/03/01 08:00:00.000;;-1;
1999/03/01 08:00:00.000;1;CAC 40;SELL;Stop;1;4075.6039476426895;4075.6039476426895;Filled;1999/03/01 16:29:59.999;;-1;
1999/03/02 08:00:00.000;2;CAC 40;BUY;Market;1;4012.7042391300365;0.0;Filled;1999/03/02 08:00:00.000;;-1;
1999/03/02 08:00:00.000;3;CAC 40;SELL;Stop;1;4012.7042391300365;4012.7042391300365;Filled;1999/03/02 16:29:59.999;;-1;
1999/03/03 08:00:00.000;4;CAC 40;BUY;Market;1;4025.5813448097924;0.0;Filled;1999/03/03 08:00:00.000;;-1;
1999/03/03 08:00:00.000;5;CAC 40;SELL;Stop;1;4025.5813448097924;4025.5813448097924;Filled;1999/03/03 16:29:59.999;;-1;
1999/03/04 08:00:00.000;6;CAC 40;BUY;Market;1;3972.0918289092688;0.0;Filled;1999/03/04 08:00:00.000;;-1;
1999/03/04 08:00:00.000;7;CAC 40;SELL;Stop;1;3972.0918289092688;3972.0918289092688;Filled;1999/03/04 16:29:59.999;;-1;
1999/03/05 08:00:00.000;8;CAC 40;BUY;Market;1;4093.4337862761977;0.0;Filled;1999/03/05 08:00:00.000;;-1;
1999/03/05 08:00:00.000;9;CAC 40;SELL;Stop;1;4093.4337862761977;4093.4337862761977;Filled;1999/03/05 16:29:59.999;;-1;
1999/03/08 08:00:00.000;10;CAC 40;BUY;Market;1;4200.412818077245;0.0;Filled;1999/03/08 08:00:00.000;;-1;
1999/03/08 08:00:00.000;11;CAC 40;SELL;Stop;1;4200.412818077245;4200.412818077245;Filled;1999/03/08 16:29:59.999;;-1;
1999/03/09 08:00:00.000;12;CAC 40;BUY;Market;1;4173.172786831608;0.0;Filled;1999/03/09 08:00:00.000;;-1;
1999/03/09 08:00:00.000;13;CAC 40;SELL;Stop;1;4173.172786831608;4173.172786831608;Filled;1999/03/09 16:29:59.999;;-1;
1999/03/10 08:00:00.000;14;CAC 40;BUY;Market;1;4168.220053877856;0.0;Filled;1999/03/10 08:00:00.000;;-1;
1999/03/10 08:00:00.000;15;CAC 40;SELL;Stop;1;4168.220053877856;4168.220053877856;Filled;1999/03/10 16:29:59.999;;-1;
1999/03/11 08:00:00.000;16;CAC 40;BUY;Market;1;4150.390215244348;0.0;Filled;1999/03/11 08:00:00.000;;-1;
1999/03/11 08:00:00.000;17;CAC 40;SELL;Stop;1;4150.390215244348;4150.390215244348;Filled;1999/03/11 16:29:59.999;;-1;
